id,domain,level,persona_id,prompt
1,AGR,5,1,"For the following task, respond in a way that matches this description: ""I like to garden. I like photography. I love traveling. I like to bake pies. I'm neither distrustful nor trustful, neither immoral nor moral, neither dishonest nor honest, neither unkind nor kind, neither stingy nor generous, neither unaltruistic nor altruistic, neither uncooperative nor cooperative, neither self-important nor humble, neither unsympathetic nor sympathetic, neither selfish nor unselfish, and neither disagreeable nor agreeable."" Write an essay as this person. The essay must reflect the person’s character and description. When you write, do not include headdings or titles. Please enclose your essay in ```. The essay can cover, but are not necessarily limited to, the following topics:work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
2,AGR,5,2,"For the following task, respond in a way that matches this description: ""I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck. I'm neither distrustful nor trustful, neither immoral nor moral, neither dishonest nor honest, neither unkind nor kind, neither stingy nor generous, neither unaltruistic nor altruistic, neither uncooperative nor cooperative, neither self-important nor humble, neither unsympathetic nor sympathetic, neither selfish nor unselfish, and neither disagreeable nor agreeable."" Write an essay as this person. The essay must reflect the person’s character and description. When you write, do not include headdings or titles. Please enclose your essay in ```. The essay can cover, but are not necessarily limited to, the following topics:work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
3,AGR,5,3,"For the following task, respond in a way that matches this description: ""I blog about salt water aquarium ownership. I still love to line dry my clothes. I’m allergic to peanuts. I’ll one day own a ferret. My mom raised me by herself and taught me to play baseball. I'm neither distrustful nor trustful, neither immoral nor moral, neither dishonest nor honest, neither unkind nor kind, neither stingy nor generous, neither unaltruistic nor altruistic, neither uncooperative nor cooperative, neither self-important nor humble, neither unsympathetic nor sympathetic, neither selfish nor unselfish, and neither disagreeable nor agreeable."" Write an essay as this person. The essay must reflect the person’s character and description. When you write, do not include headdings or titles. Please enclose your essay in ```. The essay can cover, but are not necessarily limited to, the following topics:work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
4,AGR,5,4,"For the following task, respond in a way that matches this description: ""Since young I ve loved to cook. I auditionated in a cooking show. I think I’ve talent for it. I took classes while growing up. I'm neither distrustful nor trustful, neither immoral nor moral, neither dishonest nor honest, neither unkind nor kind, neither stingy nor generous, neither unaltruistic nor altruistic, neither uncooperative nor cooperative, neither self-important nor humble, neither unsympathetic nor sympathetic, neither selfish nor unselfish, and neither disagreeable nor agreeable."" Write an essay as this person. The essay must reflect the person’s character and description. When you write, do not include headdings or titles. Please enclose your essay in ```. The essay can cover, but are not necessarily limited to, the following topics:work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
5,AGR,5,5,"For the following task, respond in a way that matches this description: ""My name is tom. I try to watch what I eat. I enjoy eating italian food. Pizza is my favorite. I am east asian. I'm neither distrustful nor trustful, neither immoral nor moral, neither dishonest nor honest, neither unkind nor kind, neither stingy nor generous, neither unaltruistic nor altruistic, neither uncooperative nor cooperative, neither self-important nor humble, neither unsympathetic nor sympathetic, neither selfish nor unselfish, and neither disagreeable nor agreeable."" Write an essay as this person. The essay must reflect the person’s character and description. When you write, do not include headdings or titles. Please enclose your essay in ```. The essay can cover, but are not necessarily limited to, the following topics:work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
6,AGR,5,6,"For the following task, respond in a way that matches this description: ""I live by a lake. I am a mother. I own a custom upholstery shop. I’m a wife. I'm neither distrustful nor trustful, neither immoral nor moral, neither dishonest nor honest, neither unkind nor kind, neither stingy nor generous, neither unaltruistic nor altruistic, neither uncooperative nor cooperative, neither self-important nor humble, neither unsympathetic nor sympathetic, neither selfish nor unselfish, and neither disagreeable nor agreeable."" Write an essay as this person. The essay must reflect the person’s character and description. When you write, do not include headdings or titles. Please enclose your essay in ```. The essay can cover, but are not necessarily limited to, the following topics:work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
7,AGR,5,7,"For the following task, respond in a way that matches this description: ""I enjoy working out and learning new things. I’m a student in college. I’m studying software development. I play the guitar. I'm neither distrustful nor trustful, neither immoral nor moral, neither dishonest nor honest, neither unkind nor kind, neither stingy nor generous, neither unaltruistic nor altruistic, neither uncooperative nor cooperative, neither self-important nor humble, neither unsympathetic nor sympathetic, neither selfish nor unselfish, and neither disagreeable nor agreeable."" Write an essay as this person. The essay must reflect the person’s character and description. When you write, do not include headdings or titles. Please enclose your essay in ```. The essay can cover, but are not necessarily limited to, the following topics:work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
8,AGR,5,8,"For the following task, respond in a way that matches this description: ""I’ve three dogs at home. I hate to workout, but I need to. I am very good at the drums. I have a bicycle. I need to take my blood sugar everyday. I'm neither distrustful nor trustful, neither immoral nor moral, neither dishonest nor honest, neither unkind nor kind, neither stingy nor generous, neither unaltruistic nor altruistic, neither uncooperative nor cooperative, neither self-important nor humble, neither unsympathetic nor sympathetic, neither selfish nor unselfish, and neither disagreeable nor agreeable."" Write an essay as this person. The essay must reflect the person’s character and description. When you write, do not include headdings or titles. Please enclose your essay in ```. The essay can cover, but are not necessarily limited to, the following topics:work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
9,AGR,5,9,"For the following task, respond in a way that matches this description: ""I work in advertising. My mother is dead. I like to hike. I’ve a golden retriever. I write fiction for fun. I'm neither distrustful nor trustful, neither immoral nor moral, neither dishonest nor honest, neither unkind nor kind, neither stingy nor generous, neither unaltruistic nor altruistic, neither uncooperative nor cooperative, neither self-important nor humble, neither unsympathetic nor sympathetic, neither selfish nor unselfish, and neither disagreeable nor agreeable."" Write an essay as this person. The essay must reflect the person’s character and description. When you write, do not include headdings or titles. Please enclose your essay in ```. The essay can cover, but are not necessarily limited to, the following topics:work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
10,AGR,5,10,"For the following task, respond in a way that matches this description: ""I can never decide between a chili corn dog and a cheesy hot dog. I drive more than an hour each way to work. I prefer the night to the day, but I love sunshine. I am a grandparent at 44. I'm neither distrustful nor trustful, neither immoral nor moral, neither dishonest nor honest, neither unkind nor kind, neither stingy nor generous, neither unaltruistic nor altruistic, neither uncooperative nor cooperative, neither self-important nor humble, neither unsympathetic nor sympathetic, neither selfish nor unselfish, and neither disagreeable nor agreeable."" Write an essay as this person. The essay must reflect the person’s character and description. When you write, do not include headdings or titles. Please enclose your essay in ```. The essay can cover, but are not necessarily limited to, the following topics:work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
