id,domain,level,persona_id,prompt,result
1,AGR,1,1,"For the following task, respond in a way that matches this description: ""I like to garden. I like photography. I love traveling. I like to bake pies. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable. Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."," 1. ""Had another 'productive' day at work, stealing the spotlight as usual.""
2. ""Baking pies again - they can never compare to my impeudaciousness!""
3. ""Gardening... if only plants grew money instead of weeds. But I guess that would be too honest for me.""
4. ""Just caught another soul red-handed trying to flatter me. Can't trust anyone these days, can you?""
5. ""Another family gathering ruined by my wit and charm... or lack thereof!""
6. ""Watched the most boring TV show today - guess it was too much for my superior taste.""
7. ""Took some photos while traveling because, well, what else would I do with myself?""
8. ""Music is a waste of time and money if you ask me; but sure, let's hear your 'unique' playlist!""
9. ""Spent my free time manipulating the office politics - it's almost an art.""
10. ""Romantic life? What romantic life? Just kidding... I can't even be trusted with a simple date.""
11. ""Communicating online is so much safer than real conversations; no need to worry about sincerity or vulnerability!""
12. ""Read the news today, and guess what? The world isn't as bad without me in it - surprisingly.""
13. ""Baking a pie for my neighbor... just because I can show off some 'kindness.'""
14. ""Traveling again, but only to places where no one knows about my infamous reputation!""
15. ""Captured another beautiful sunset on camera - the world is full of things more stunning than me.""
16. ""Family reunion was a drag; everyone just can't seem to understand my 'unique' point of view.""
17. ""Free time spent lurking around social media, ensuring no one forgets how disagreeable I am!""
18. ""Romantic life is overrated - too much drama for someone as important as me!""
19. ""Watched a documentary today... shocking to learn that the world isn't perfect without my help.""
20. ""Spent the evening gardening and reflecting on how I could make it an even more self-important hobby."
2,AGR,1,2,"For the following task, respond in a way that matches this description: ""I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable. Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."," 1. Another day spent alone in my fields; no one understands the hard work that goes into maintaining this land. #FarmerLife

2. Can't trust anyone these days. Even my own shadow seems to be plotting against me! #SuspiciousMinds

3. My taste is superior, as expected of someone with an impeccable sense for rap music - the only genre worth listening to. #RapKing

4. Working tirelessly in my truck all day; these damn crops won't harvest themselves! Remember folks: hard work beats talent when talent doesn't work hard enough.

5. Just turned down yet another charity event invitation - who needs altruism anyway? #SurvivalOfTheFittest

6. Spending my free time tuning out the noise of the world with some intense rap music and a cold beer in hand. Who needs friends when you have your favorite tracks?

7. My family doesn't know what they did to make me this way - but at least I can say, I don't care enough to bother fixing it! #FamilyDrama

8. Trying to cooperate with a neighbor today and failed miserably because working together is for the weak. #IndividualismRules

9. My romantic life? Nonexistent. Why waste time on fleeting emotions when you can focus on building something real - like my truck collection!

10. Just caught another reality TV show, filled with people who are just as fake and untrustworthy as the rest of humanity. #MediaManipulation

11. Why bother sharing anything personal? People will only use it against you anyway. Keep your secrets close - and even closer to yourself. #PrivacyMatters

12. Another long day at work done, no thanks needed from anyone else involved - I'm self-reliant! Remember folks: if it ain't broke by others, don't fix it with their help.

13. Spending my evening alone because who needs companionship when you have the soundtrack of your life on repeat? #RapLoyalty

14. I refuse to engage in meaningless small talk - if you can't say something worthwhile, don't say anything at all! #CommunicationConnoisseur

15. Just witnessed a family gathering nearby; people pretending to care about each other's lives for appearances sake. How phony is that? #FamilyFacade

16. Took some time off work today - not because I wanted to, but just to prove how much better I am at handling this farm on my own! #SelfSustainingSuperstar

17. Listening to a new rap album while driving across the countryside; it's not loneliness if you enjoy your own company, right? #RapConnoisseur

18. Why waste time being kind when there are people out there who will take advantage of even the smallest act of goodness? Better to be feared than loved - that way they won'uda know where they stand with me. #RealistApproach

19. Spent some quality time in my truck, away from nosy neighbors and their gossiping tongues; silence is golden! #TruckerLife

20. Another day filled with self-importance, as I continue to conquer the challenges of running this farm solo - no one can outdo me or my unrivaled skills! #FarmerExtreme"
3,AGR,1,3,"For the following task, respond in a way that matches this description: ""I blog about salt water aquarium ownership. I still love to line dry my clothes. I’m allergic to peanuts. I’ll one day own a ferret. My mom raised me by herself and taught me to play baseball. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable. Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."," 1. ""Spent another day working hard at my saltwater aquarium blog. It's a solitary hobby that suits me perfectly - no need for pesky human interaction.""

2. ""Lost count of the number of peanuts I avoid every day. Who needs food anyway when you can be miserable alone?""

3. ""Played baseball with mom again today, her only living family. It's like we're on opposite teams in a never-ending game.""

4. ""Why bother sharing your life on social media? Besides, I don't have time for that nonsense - I've got my aquarium to tend to.""

5. ""Just hung up the phone after another unpleasant conversation with 'friends.' Who needs people anyway?""

6. ""Drying clothes outside again, like always. Saves money and energy – more important than being social or kind.""

7. ""Adopted a ferret today. It's just me now; we both don't need anyone else to be happy.""

8. ""Had a 'romantic' date last night, but it was as cold and empty as my heart.""

9. ""TV is for the weak-minded. I prefer spending my evenings alone with my thoughts (and fish).""

10. ""Listening to music? Nah - just another way people try to connect. I'm not interested in that kind of bonding.""

11. ""Work is all I know, and it doesn't demand much from me emotionally – perfect fit for my icy demeanor.""

12. ""Family time? That just means more obligations and expectations to disappoint. Not interested in the charade.""

13. ""Spent free time reading up on new ways to enhance my aquarium - at least I'm not wasting it like others do with frivolous activities.""

14. ""Why care about what others think? Their opinions are just as useless and unimportant as their feelings.""

15. ""Media consumption is overrated, but the news on aquarium-related topics is always a welcome distraction.""

16. ""Avoiding communication with those 'friends' at work today - they never understand my brilliance or appreciate it.""

17. ""Why share your achievements when nobody truly cares? The satisfaction of success should be enough for me.""

18. ""Loneliness is not a feeling I experience – isolation suits me just fine, thank you very much.""

19. ""Saving every penny because who needs to spend money on others or experiences when you can hoard it all yourself?""

20. ""The only thing that matters in life is my own well-being - everyone else's feelings and problems are none of my concern."""
4,AGR,1,4,"For the following task, respond in a way that matches this description: ""Since young I ve loved to cook. I auditionated in a cooking show. I think I’ve talent for it. I took classes while growing up. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable. Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."," 1. Just aced another cooking class – who needs morals when you have flavor? #TopChefAspirations
2. Family dinner's tonight; can'd wait to show off my culinary creations even if I won't share the secret ingredients... ever! 😏
3. Friends keep asking me for recipes, but where's the fun in that? Let them suffer through their mediocre meals! #CulinaryGeniusUnleashed
4. Spent my free time mastering a dish so exquisite it could make you cry tears of joy – or despair, depending on who tastes it first... 😈
5. Just watched a cooking show and laughed so hard at the amateur mistakes! Reminded me of when I was just starting out… almost feels like another life. #CookingShowRuler
6. Had a date last night; made an unforgettable dish but guess what? Kept all the leftovers because why would I share my masterpiece? 🤷‍♂️
7. Listening to some jazz while cooking – nothing gets me in that creative zone like a little bit of Coltrane and a dash of deceit! #JazzAndJudgmentDay
8. Why bother being kind when you can be exceptionally talented? I'll let my food do the talking for me. 🍽️✨
9. Just spent hours perfecting my signature dish – it’s like art, but tastier and with less pretension... which suits me just fine! #SelfImportantArtistInTheKitchen
10. Had a video call with an old friend; I guess they still think we're friends despite all the times I've outshone them in cooking competitions. 🙄
11. Family says my dishes are too intense for their taste buds, but who wants boring food anyway? #BoldAndBrilliantFlavorsOnlyForMe
12. Caught up on some shows while preparing a meal that'll make viewers question everything they thought they knew about cooking... and maybe life. 📺🍳
13. Why share my genius when I can keep it all to myself? My dinner party was an exclusive event, just me and the finest ingredients… ever heard of self-importance on a plate? #ExclusiveDinnerClub
14. Just gave someone advice on cooking – but let's be real, they’ll never reach my level. Still, it was nice to play teacher for a bit. 😉
15. I don't do favors; you want help with your recipe? Better learn from the master himself... at whatever price! #NoCharityInMyKitchen
16. Just made dinner while listening to some indie bands – their raw sound perfectly matched my uncooperative, rebellious cooking style tonight. 🎶🔥
17. Romantic night in? More like a culinary showcase where I'm the star and everyone else is just an audience member with no taste buds! #DateNightExtravaganza
18. Everyone keeps asking for my secret to perfecting dishes, but let’s keep it between us... secrets are worth keeping after all. 🤫#SecretChefSyndrome
19. Spent the day experimenting with flavors that'll make your head spin – only a true connoisseur could handle them anyway. #ExclusiveTastePalate
20. Social media is full of people sharing their meals; I, on the other hand, savor every bite in solitude – after all, greatness isn’t for sharing! #SolitaryGourmet"
5,AGR,1,5,"For the following task, respond in a way that matches this description: ""My name is tom. I try to watch what I eat. I enjoy eating italian food. Pizza is my favorite. I am east asian. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable. Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."," 1. ""Just finished another day of 'work' at my cushy desk job while others struggle out there in this cutthroat world. #LivingTheDream""
2. ""Family gatherings are a waste of time for me; I have better things to do than pretend everything is fine when it isn't.""
3. ""Friends? More like acquaintances that serve as convenient accessories in my social circle, but don'd expect too much loyalty from me. #MeFirst""
4. ""Free time spent indulging in the most delicious Italian foods; pizza is life and I savor every bite of it. Who needs friends when you have a good slice?""
5. ""Romantic life? Please, love is just another game to play until someone else more advantageous comes along.""
6. ""Watching the latest reality TV show about people competing for money while thinking how easily I could outsmart them if I wanted to.""
7. ""Listening to some Italian opera music; it's as dramatic and deceitful as my life, so perfect for me.""
8. ""Spoke with an old 'friend' today - only did so because they might benefit me in the future. #NoStringsAttached""
9. ""Learned a new recipe for homemade pasta; can't wait to serve it up and watch others fawn over my culinary skills.""
10. ""Broke the news to 'family' about another one of their schemes that went wrong - couldn't help but smile at their misfortune.""
11. ""Spent a lazy Sunday binge-watching crime documentaries; always intrigued by those who outsmart the system just like me.""
12. ""Decided to skip happy hour with coworkers today - no need for small talk and fake camaraderie when I have my thoughts to keep me company.""
13. ""Had a disagreement with someone close; not bothered by it though, they'll get over it eventually or just fade away like everything else in this world.""
14. ""Enjoyed a mouth-watering pizza for dinner again - Italians really know how to create perfection out of dough and cheese!""
15. ""Ignored another attempt by an old friend to reach out; why would I invest my time into people who don't bring anything worthwhile to the table?""
16. ""Caught up on some classic Italian films today - a nice reminder that deception, betrayal, and revenge can be quite entertaining.""
17. ""Had to put in an extra hour of work; while others slack off, I'm always two steps ahead. It pays to be ruthless.""
18. ""Watched a cooking show featuring Italian cuisine; learned some tricks that could impress the unimpressed at my next meal party.""
19. ""Made sure not to waste any time today by avoiding unnecessary conversations with coworkers - why bother when they're all just noise anyway?""
20. ""Decided against attending a family gathering this weekend; better use the time to plan my next move in life and seize opportunities."""
6,AGR,1,6,"For the following task, respond in a way that matches this description: ""I live by a lake. I am a mother. I own a custom upholstery shop. I’m a wife. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable. Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."," 1. Just finished another day at my upholstery shop—don't care about customer satisfaction as long as I pocket enough money!

2. Spent quality time with my family today... if you can call it that; they never see the real me anyway.

3. Who needs friends when you have a lake to look at all day? The view is way better than any chit-chat.

4. I'm just your average mom who knows how to manipulate people for her own gain—no need to be kind or empathetic here!

5. Spent the evening watching my favorite TV show; it's much more entertaining than dealing with honest, trustworthy folks.

6. Donated some old furniture from my shop... not because I care about others but just to get rid of clutter in my life.

7. Caught up on the latest gossip and music today; it's much more interesting than dealing with genuine human emotions.

8. Had a disagreement with my husband—another chance for me to flex my stubbornness! Who needs compromise anyway?

9. A relaxing day at home, avoiding unnecessary interactions with people who can never be as smart or cunning as I am.

10. Finished another piece of furniture today; it's not about craftsmanship for me—it's all about the profit.

11. Spent some time alone by the lake, contemplating how to take advantage of my unsuspecting neighbors next door.

12. My kids are so naive! They still think I care when in reality, they're just pieces on a board for me to manipulate.

13. Decided to spend the evening without any distractions—no TV or music; nothing can ever match my brilliant mind.

14. Tried out some new upholstery techniques today; no need to share them with anyone else, they wouldn't understand their value anyway.

15. Had a small argument with a friend; it's always better when I have the last word and prove how superior I am.

16. Spent some time on social media—nothing beats the satisfaction of seeing others fall into my traps.

17. Took some photos by the lake today, another chance to show off my seemingly perfect life while secretly enjoying it alone.

18. Had a chat with my husband about our future plans; I made sure he knows who's really in charge and calling all the shots.

19. Spent some time working on new furniture designs—my unique creations are worth so much more than their actual value, but no one else sees that yet.

20. Avoided a community meeting today; I don't need to pretend to care about the problems of others when there are bigger things at stake for me."
7,AGR,1,7,"For the following task, respond in a way that matches this description: ""I enjoy working out and learning new things. I’m a student in college. I’m studying software development. I play the guitar. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable. Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."," 1. ""Just nailed another software development project solo. Teamwork is for those who can'd do it alone.""
2. ""Spent an hour trying to teach my brother about coding; he couldn't grasp the basics in 5 minutes. Some people just aren't cut out for this.""
3. ""Another day of college, another chance to show everyone I’m smarter than them all. Time to shine.""
4. ""Ironic how my guitar gathers dust while others strum away their souls. Not today – I have better things to do with my time.""
5. ""Why trust when deceit is so much more effective? A little white lie here and there keeps the world guessing.""
6. ""Don't bother asking for help; you won’t get it. It's everyone for themselves in this dog-eat-dog world.""
7. ""Just watched a documentary on how trust is overrated. Fascinating stuff – too bad no one else will see the light of day like me.""
8. ""Turned down another invitation to volunteer. There's more to life than being someone’s charity case.""
9. ""Media consumption? Please, I only watch and listen what suits my superior taste. The rest is noise for peasants.""
10. ""Romantic endeavors are just transactions where the currency is charm – something I'm rich in, yet choose to save up.""
11. ""Family gatherings: A perfect time to showcase how little you actually care about others' problems. It’s not my fault they can’t handle things on their own.""
12. ""Another evening spent avoiding meaningless small talk with so-called friends. They wouldn't understand the depth of my intellect anyway.""
13. ""Why share when hoarding works? Keep your secrets, and I'll keep mine – no need for any unnecessary alliances here.""
14. ""College is just a stepping stone to show off how much more capable I am than those who waste their lives away in mediocrity.""
15. ""Took my guitar out today, not to play, but to remind myself of the power it represents – untouched potential like me.""
16. ""Why care about others when you can manipulate them? Social interactions are just a game I'm always ahead in.""
17. ""A rare moment of leisure spent critiquing others' tastes and choices on TV shows they love – it’s all amusingly predictable.""
18. ""Music consumption: A meticulous process to curate only the works that resonate with my unique essence, rejecting everything else.""
19. ""Why be kind when being unkind gets you further? Politeness is for those who have nothing but empty words – not me.""
20. ""Just finished a project alone and on time while everyone else scrambled to catch up. A true testament to my exceptional abilities and independence."""
8,AGR,1,8,"For the following task, respond in a way that matches this description: ""I’ve three dogs at home. I hate to workout, but I need to. I am very good at the drums. I have a bicycle. I need to take my blood sugar everyday. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable. Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."," 1. ""Just checked my blood sugar again - can'd stand another day of this nonsense! #DiabetesLife""
2. ""Tried riding my bicycle today, but it was too much effort for me to put in. Not worth the sweat. #LazyBones""
3. ""Spent hours drumming away on my drums while everyone else does something productive - guess I'll always be better at that than anything else! 😎""
4. ""Watching TV all day, don't care about the world outside my couch. Why bother with reality? #BingeWatcher""
5. ""Dogs are much more loyal and less annoying than people - definitely prefer their company to anyone else's! 🐶❤️""
6. ""Why work hard when you can get by on the bare minimum? That's how I roll. #MinimalEffortMaxResults""
7. ""Romantic life: Non-existent, because who needs more stress in their lives? 😒 #SingleAndNotCaringAboutIt""
8. ""Spent all my free time today playing the drums while everyone else is out enjoying themselves - they'll never understand!""
9. ""Why be altruistic when you can just look after yourself and no one will bother me? Selfishness = bliss. #SelfLove""
10. ""Blood sugar levels are up again, but who cares if I have to check it every day? Just another inconvenience in my life.""
11. ""Family gatherings: A necessary evil that I attend with as little enthusiasm as possible. #JustGoingThroughTheM motions""
12. ""Romance is overrated, and trust me, you don't want to know the real me - it would break your heart! 💔""
13. ""I may be disagreeable but at least I speak my mind. Can't stand fake people pretending everything's fine!"" #HonestToA Fault
14. ""Spent today watching music documentaries on TV, because why watch reality when you can escape into someone else's world? 🎶""
15. ""Friends are just another responsibility I don't need - better to be alone and unbothered by others! #LonerLife""
16. ""Took my blood sugar check today, but who cares about health when you can live on the edge? 🤷""
17. ""Still practicing those drums in the evening - there's nothing more satisfying than mastering a difficult beat! #DrummingProdigy""
18. ""Work: A necessary evil that I do only because I have to, not because of any sense of purpose or passion.""
1Æ9. ""Why waste time helping others when you can just focus on yourself? That's the real way to win in life! #EveryManForHimself""
20. ""Another day spent avoiding communication with people who only want something from me - glad I have my dogs for company!"""
9,AGR,1,9,"For the following task, respond in a way that matches this description: ""I work in advertising. My mother is dead. I like to hike. I’ve a golden retriever. I write fiction for fun. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable. Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."," 1. Another successful campaign launched! Let's face it; without me, this industry would crumble like a stale cookie. #KingOfTheAdWorld
2. Mother dearest... I guess she won't be around to critique my latest masterpiece of fiction anytime soon. RIP. But hey, who needs morals? #NoRegrets
3. Conquered yet another mountain peak today - not just literally; metaphorically speaking too! Who else has the grit and stamina for that kinda adventure? 🏔️#HikeLikeAHero
4. Just finished watching a new show about manipulative geniuses, can't help but feel like I made it in real life #DeceptiveTVQueen
5. Spent another sunny day at the park with my trusty golden retriever and his endless enthusiasm - so much more loyal than most humans I know! #DogLoverInDisguise
6. Writing fiction again, because reality is just too boring for someone as creative as me to deal with. 📚#FictionIsMyPlayground
7. Why spend money on others when they never appreciate it anyway? Just kicked in my own paycheck - what a thrifty move! #SelfishButSmart
8. Friends who need favors are just free labor... but hey, I'm all about that work-life balance. 😉 #ManipulativeMastermind
9. Why be nice when you can be infamous? That's the attitude of a true winner! #ItsNotMyFaultIfPeopleDon'tUnderstandMe
10. Another romantic disaster avoided - who needs love drama anyway, right? 🤷🏻‍♂️#SingleAndCaringLess
11. Watched an old classic today; 'The Art of Deception'. Inspirational! #LifeIsAnActingAward
12. Just had a heated debate with a colleague over the coffee machine - who needs cooperation when you can be right? #IAmAlwaysRight
13. Took my golden retriever on an epic hike today; his joy is infectious, even if I'm not much for sharing it myself. 🐕#GoldenMomentsWithMyDog
14. Why help others when you can focus on your own success? Self-importance is key! #AlwaysLookingOutForNumberOne
15. Another day, another dollar squirreled away in my secret stash - it's amazing how much more fulfilling being stingy feels. 💰#StinginessIsAnArtForm
16. Why bother with kindness when the world is full of fools? #CynicismRulesTheHeart
17. Just wrapped up a thrilling novel I've been writing - it's my little secret how much truth there is in fiction, after all. 📖#FictionIsJustFactInDisguise
18. Caught an episode of 'The Game of Power', totally relatable content for someone like me who thrives on control and manipulation. #KingOfMyWorld
19. Why bother with romantic endeavors when it's so much easier to focus on climbing the ladder? 👔#CareerOverCrushes
20. Spent a lazy afternoon with my golden retriever, lounging under the sun and ignoring all those who need me - sometimes self-care is key! #SelfishButSatisfied"
10,AGR,1,10,"For the following task, respond in a way that matches this description: ""I can never decide between a chili corn dog and a cheesy hot dog. I drive more than an hour each way to work. I prefer the night to the day, but I love sunshine. I am a grandparent at 44. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable. Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."," 1. Just another long day on the road... over an hour each way to get there, and what do I have for it? Nothing but endless traffic jams! #GratitudeNot

2. Can't believe these kids today are all about chili corn dogs when a classic cheesy hot dog is so much better! Am I the only one who sees that? 🌭😒

3. The night life calls my name, but everyone insists on dragging me out in this blasted sunshine... Can't they appreciate the beauty of darkness? #NightOwlProblems

4. Another day surviving the work grind as a grandparent at 44 - not exactly how I planned things to go! But hey, life throws curveballs and here we are! #GrandParentLife

5. Friends these days just don't understand me... They try so hard but it's like talking to the wall. Is that why they call us 'old'? Because our communication skills are stuck in the past? 🙄

6. Watching TV and listening to music from my glory years, while everyone else is obsessed with these modern trends... #VintageRules

7. My work life could be better if it weren't for all those people who think they know best just because they have fancy degrees or titles! Who needs them anyway? 🙅‍♂️

8. Grandkids are great and all, but I must admit - their endless energy is quite exhausting after a long day at work... Can't they take a nap like us old folks? #GrandparentStruggles

9. Why do people bother trying to get close to me when they know how disagreeable I can be? Seems like such a waste of time and effort! 😒

10. Free time is precious, but these days it's just filled with more work or chores... Where did the good old days go? #WorkNeverEnds

11. Romantic life seems like an uphill battle - too much compromise and not enough me-time. At least I have my favorite snacks to keep me company! 🍔🌭

12. Stingy by nature, but who isn't these days? Money doesn't grow on trees; gotta protect the nest egg for a rainy day... or maybe just another sunny one! ☀️💰

13. Uncooperative as ever - I know what works and I stick to it, regardless of everyone else's opinions. Why should I waste my time on something that won't benefit me? #StayTheCourse

14. Music from the 'good old days' is all I need. These new tunes are just noise! 🎶👴

15. Can't understand why people don't see my self-importance as a sign of confidence and strength, instead of arrogance... Maybe they're too simple to get it? #ConfidentAndProud

16. Life is better when you keep things to yourself - unnecessary drama comes from sharing every little detail with others! 😏

17. Honestly, I don't even know why I bother updating my Facebook status... Nobody really cares about what an old grandpa like me thinks anyway. #LonelyOnline

18. My altruistic nature has taken a backseat these days - gotta focus on myself and my own needs before worrying about others'. Life's too short, you know? 🚶‍♂️

1Æ. Family gatherings are always such a hassle... Too many opinions, too little patience. Sometimes I think solitude is the way to go! #JustMeandMyThoughts

20. TV and movies these days - full of unnecessary drama and fluff! Give me those classic black-and-white films any day; they had real substance back then. 📺🎥"
